part_num,name,part_cat_id,part_material_id
004591,Sticker Sheet 1 for Set 1650-1,58,1
004602,Sticker Sheet 2 for Set 1650-1,58,1
0687b1,Set 0687 Activity Booklet 1,17,1
0901,Baseplate 16 x 30 with Set 080 Yellow House Print,1,1
0902,Baseplate 16 x 24 with Set 080 Small White House Print,1,1
0903,Baseplate 16 x 24 with Set 080 Red House Print,1,1
0904,Baseplate 16 x 24 with Set 080 Large White House Print,1,1
1,Homemaker Bookcase 2 x 4 x 4,7,1
10,Baseplate 24 x 32,1,1
10000,Duplo Animal Brick 2 x 2 Elephant Head,4,1
10016414,Sticker Sheet #1 for 41055-1,58,1
10019stk01,Sticker for Set 10019 - (43274/4170393),58,1
10026stk01,Sticker for Set 10026 - (44942/4184185),58,1
10029stk01,Sticker for Set 10029 - (4216816),58,1
10039,Pullback Motor 8 x 4 x 2/3,44,1
10048,Minifig Hair Tousled,65,1
10049,Minifig Shield Broad with Spiked Bottom and Cutout Corner,27,1
10049pr0001,Minifig Shield Broad with Spiked Bottom and Cutout Corner with Handprint Print,27,1
10050,Weapon Sword (Uruk-hai),27,1
10051,Minifig Helmet Castle with Lateral Comb [Uruk-hai],65,1
10051pr01,Minifig Helmet Castle with Lateral Comb and Handprint Print,65,1
10052,"Minifig Neckwear Beard, Rounded End [Gandalf]",27,1
10053,Weapon Sword Small,27,1
10054,Minifig Helmet with Cheek Protection and Horsehead Comb (Rohan Style),65,1
10054pr0001,Minifig Helmet with Cheek Protection and Horsehead Comb (Rohan Style) with Eomer Print,65,1
10054pr0002,Minifig Helmet with Cheek Protection and Horsehead Comb (Rohan Style) with Theoden Print,65,1
10055pr0001,Minifig Hair Long Straight with Light Flesh Elf Ears Print,65,1
10056,Minifig Helmet Castle with Cheek Protection [Plain],24,1
10056pr0001,Minifig Helmet with Cheek Protection and Dark Red Ornaments Print,65,1
10057,Body / Head Gollum,13,1
10057pr0001,Body / Head Gollum - Wide Eyes,13,1
10057pr0002,Body / Head Gollum - Narrow Eyes,13,1
10058,"Arm, Bent [Gollum]",60,1
10061,"Arm Goblin King, Left",60,1
10062,"Hand Cave Troll, Left",60,1
10063,"Arm Goblin King, Right",60,1
10064,"Hand Cave Troll, Right",60,1
10065,"Minifig Neckwear Beard, Full with Braided Moustache Ends",27,1
10066,Minifig Hair Orc [Plain],24,1
10066pr0001,Minifig Hair Orc with Dark Tan Ears Print,65,1
10066pr0002,Minifig Hair Orc with Olive Green Ears Print,65,1
10066pr0003,Minifig Hair Orc with Medium Dark Flesh Ears Print,65,1
10075cdb01,"Paper, Cardboard Backdrop for Set 10075 Spider-Man Action Pack",17,5
100954456,Sticker Sheet for Set 3184-1 (10095456/4620856),58,1
10095457,Sticker Sheet for Set 3186-1  (10095457/4620857),58,1
10099434,Sticker Sheet for Set 3063-1  (10099434/4650853),58,1
10111apr0006,"Duplo Figure with Headset and Cap Yellow, and Fireman Overalls Print",57,1
10111pr0001,"Duplo Figure with Headset and Cap Black, with Dark Blue Legs, Badge Print, Black Arms, Light Flesh Hands (Police)",57,1
10111pr0002,"Duplo Figure with Headset and Cap Yellow, with Dark Blue Arms, and Legs, Yellow Knee Pads Print, and Yellow Vest with ID Badge and Radio Print",57,1
10111pr0005c01,"Duplo Figure with Headset and Cap Yellow, with Brown Vest with Zippers over Black Shirt, and Blue Legs",57,1
10111pr0005c02,"Duplo Figure with Headset and Cap Black, with Reddish Brown Top with ID Badge Print, Light Flesh Face and Hands, and Blue Legs",57,1
10111pr0007,"Duplo Figure with Headset and Cap Yellow, with White Race Suit with Red Sleeves and Octan Logo Print, Light Flesh Face and Hands, and White Legs",57,1
10111pr0033,"Duplo Figure with Headset and Cap Yellow, with Orange Vest over Green Shirt with Red Sleeves, Light Flesh Face and Hands, and Blue Legs",57,1
10111pr0075,"Duplo Figure with Headset and Cap Yellow, with Medium Azure Arms, Yellow Vest with Orange Stripes, and Black Legs",57,1
10111pr0093,"Duplo Figure with Headset and Cap Yellow, with Medium Azure Legs and Arms, Jacket with Pockets and Zipper Print",57,1
10113,Minifig Mask Batman Cowl,65,1
10113pr0001,Minifig Mask Batman Cowl with Silver Bat Mask Around Eyes Print,65,1
10113pr0002,Minifig Mask Batman Cowl with Black Stitched Seams Print,65,1
10113pr0004,"Minifig Mask Batman Cowl with Silver Stars, Dots print",65,1
1011A,Modulex Tile 1 x 1 with No Lining,66,1
1011Apr0030,Modulex Tile 1 x 1 with Black '0' Print with No Lining,66,1
1011Apr0031,Modulex Tile 1 x 1 with Black '1' Print with No Lining,66,1
1011Apr0032,Modulex Tile 1 x 1 with Black '2' Print with No Lining,66,1
1011Apr0033,Modulex Tile 1 x 1 with Black '3' Print with No Lining,66,1
1011Apr0034,Modulex Tile 1 x 1 with Black '4' Print with No Lining,66,1
1011Apr0035,Modulex Tile 1 x 1 with Black '5' Print with No Lining,66,1
1011Apr0036,Modulex Tile 1 x 1 with Black '6' Print with No Lining,66,1
1011Apr0037,Modulex Tile 1 x 1 with Black '7' Print with No Lining,66,1
1011Apr0038,Modulex Tile 1 x 1 with Black '8' Print with No Lining,66,1
1011Apr0039,Modulex Tile 1 x 1 with Black '9' Print with No Lining,66,1
1011B,Modulex Tile 1 x 1 with Black Lining on and Sides Only,66,1
1011C,Modulex Tile 1 x 1 with Black Lining on Top and Sides,66,1
1011Cpr0001,Modulex Tile 1 x 1 with A print - Black Lining on Top and Sides,66,1
1011Cpr0002,Modulex Tile 1 x 1 with B print - Black Lining on Top and Sides,66,1
1011Cpr0003,Modulex Tile 1 x 1 with C print - Black Lining on Top and Sides,66,1
1011Cpr0004,Modulex Tile 1 x 1 with D print - Black Lining on Top and Sides,66,1
1011Cpr0005,Modulex Tile 1 x 1 with E print - Black Lining on Top and Sides,66,1
1011Cpr0006,Modulex Tile 1 x 1 with F print - Black Lining on Top and Sides,66,1
1011Cpr0007,Modulex Tile 1 x 1 with G print - Black Lining on Top and Sides,66,1
1011Cpr0008,Modulex Tile 1 x 1 with H print - Black Lining on Top and Sides,66,1
1011Cpr0009,Modulex Tile 1 x 1 with I print - Black Lining on Top and Sides,66,1
1011Cpr0010,Modulex Tile 1 x 1 with J print - Black Lining on Top and Sides,66,1
1011Cpr0011,Modulex Tile 1 x 1 with K print - Black Lining on Top and Sides,66,1
1011Cpr0012,Modulex Tile 1 x 1 with L print - Black Lining on Top and Sides,66,1
1011Cpr0013,Modulex Tile 1 x 1 with M print - Black Lining on Top and Sides,66,1
1011Cpr0014,Modulex Tile 1 x 1 with N print - Black Lining on Top and Sides,66,1
1011Cpr0015,Modulex Tile 1 x 1 with O print - Black Lining on Top and Sides,66,1
1011Cpr0016,Modulex Tile 1 x 1 with P print - Black Lining on Top and Sides,66,1
1011Cpr0017,Modulex Tile 1 x 1 with Q print - Black Lining on Top and Sides,66,1
1011Cpr0018,Modulex Tile 1 x 1 with R print - Black Lining on Top and Sides,66,1
1011Cpr0019,Modulex Tile 1 x 1 with S print - Black Lining on Top and Sides,66,1
1011Cpr0020,Modulex Tile 1 x 1 with T print - Black Lining on Top and Sides,66,1
1011Cpr0021,Modulex Tile 1 x 1 with U print - Black Lining on Top and Sides,66,1
1011Cpr0022,Modulex Tile 1 x 1 with V print - Black Lining on Top and Sides,66,1
1011Cpr0023,Modulex Tile 1 x 1 with X print - Black Lining on Top and Sides,66,1
1011Cpr0024,Modulex Tile 1 x 1 with Y print - Black Lining on Top and Sides,66,1
