sky,rounded_height,rounded_speed,num_engs,n
No Cloud,0,0,2,3
No Cloud,0,10,2,6
No Cloud,0,20,2,5
No Cloud,0,30,2,2
No Cloud,0,30,4,1
No Cloud,0,40,2,5
No Cloud,0,40,3,1
No Cloud,0,50,2,10
No Cloud,0,60,2,47
No Cloud,0,60,3,1
No Cloud,0,70,2,19
No Cloud,0,80,2,111
No Cloud,0,80,3,4
No Cloud,0,80,4,1
No Cloud,0,90,2,92
No Cloud,0,90,3,5
No Cloud,0,90,4,2
No Cloud,0,100,2,535
No Cloud,0,100,3,25
No Cloud,0,100,4,1
No Cloud,0,110.00000000000001,2,300
No Cloud,0,110.00000000000001,3,20
No Cloud,0,120,2,921
No Cloud,0,120,3,60
No Cloud,0,120,4,1
No Cloud,0,130,2,1290
No Cloud,0,130,3,65
No Cloud,0,130,4,2
No Cloud,0,140,2,2774
No Cloud,0,140,3,167
No Cloud,0,140,4,1
No Cloud,0,150,2,834
No Cloud,0,150,3,48
No Cloud,0,150,4,2
No Cloud,0,160,2,525
No Cloud,0,160,3,34
No Cloud,0,160,4,1
No Cloud,0,170,2,152
No Cloud,0,170,3,7
No Cloud,0,180,2,156
No Cloud,0,180,3,1
No Cloud,0,190,2,33
No Cloud,0,200,2,34
No Cloud,0,200,3,1
No Cloud,0,210,2,16
No Cloud,0,220.00000000000003,2,3
No Cloud,0,229.99999999999997,2,1
No Cloud,0,250,2,7
No Cloud,0,260,2,1
No Cloud,1,100,2,2
No Cloud,1,110.00000000000001,2,5
No Cloud,1,120,2,42
No Cloud,1,120,3,4
No Cloud,1,130,2,191
No Cloud,1,130,3,6
No Cloud,1,140,2,733
No Cloud,1,140,3,27
No Cloud,1,150,2,204
No Cloud,1,150,3,9
No Cloud,1,160,2,137
No Cloud,1,160,3,12
No Cloud,1,170,2,78
No Cloud,1,170,3,4
No Cloud,1,180,2,94
No Cloud,1,180,3,9
No Cloud,1,190,2,37
No Cloud,1,190,3,1
No Cloud,1,200,2,53
No Cloud,1,200,3,7
No Cloud,1,210,2,26
No Cloud,1,210,3,2
No Cloud,1,220.00000000000003,2,5
No Cloud,1,229.99999999999997,2,1
No Cloud,1,240,2,1
No Cloud,1,250,2,4
No Cloud,1,300,2,1
No Cloud,2,80,2,1
No Cloud,2,100,2,1
No Cloud,2,120,1,1
No Cloud,2,120,2,5
No Cloud,2,130,2,29
No Cloud,2,140,2,183
No Cloud,2,140,3,1
No Cloud,2,150,2,175
No Cloud,2,150,3,6
No Cloud,2,150,4,1
No Cloud,2,160,2,145
No Cloud,2,160,3,11
No Cloud,2,170,2,169
No Cloud,2,170,3,5
No Cloud,2,180,2,243
No Cloud,2,180,3,8
No Cloud,2,190,2,64
No Cloud,2,190,3,1
No Cloud,2,200,2,153
No Cloud,2,200,3,7
No Cloud,2,210,2,188
No Cloud,2,210,3,12
No Cloud,2,220.00000000000003,2,39
No Cloud,2,229.99999999999997,2,28
No Cloud,2,229.99999999999997,3,1
No Cloud,2,240,2,11
No Cloud,2,250,2,36
No Cloud,2,330,3,1
No Cloud,3,120,2,2
No Cloud,3,130,2,1
No Cloud,3,140,2,10
No Cloud,3,150,2,15
No Cloud,3,160,2,18
No Cloud,3,160,3,1
No Cloud,3,170,2,40
No Cloud,3,170,3,3
No Cloud,3,180,2,100
No Cloud,3,180,3,5
No Cloud,3,190,2,38
No Cloud,3,190,3,1
No Cloud,3,200,2,64
No Cloud,3,200,3,4
No Cloud,3,210,2,186
No Cloud,3,210,3,7
No Cloud,3,220.00000000000003,2,47
No Cloud,3,229.99999999999997,2,40
No Cloud,3,229.99999999999997,3,1
No Cloud,3,240,2,22
No Cloud,3,250,2,67
No Cloud,3,250,3,3
No Cloud,3,280,2,1
No Cloud,4,100,2,1
No Cloud,4,120,2,1
No Cloud,4,130,2,1
No Cloud,4,140,2,6
No Cloud,4,150,2,5
No Cloud,4,160,2,2
No Cloud,4,160,3,1
No Cloud,4,170,2,20
No Cloud,4,170,3,1
No Cloud,4,180,2,54
